mouse_idx,acquisition_idx,doi_citations,location,protocole_id,probes,sex,animal_strain,age_days,date_of_birth,weight,slice_position,temperature,procedure_type,procedure_info,anesthesia,seringe_gage,flush,injection_type,mb_dilution,volume_mb_injected,FRC_um,saturation_percent,mean_track_length_frames,mean_velocity_mm_s,quality_grade
mouse_18,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"15,1",Hippocampus,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,21.79,47,39.2,6.3,A
mouse_18,acquisition_3,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"15,1",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,22.56,44.7,39,6.32,A
mouse_18,acquisition_4,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"15,1",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,25.22,44.3,38.6,6.29,A
mouse_18,acquisition_5,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"15,1",Midbrain,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,24.89,44.3,37.9,6.76,A
mouse_18,acquisition_6,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"15,1",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.25,41.4,38,6.67,A
mouse_19,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,15,Midbrain,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.08,44.4,36.1,6.93,A
mouse_19,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,15,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,41.7,28.4,29.4,8.14,C
mouse_19,acquisition_3,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,15,Cerebellum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,32.9,36,31.4,8.02,B
mouse_20,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,"15,2",Cerebellum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,31.02,32,31.3,7.78,B
mouse_20,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,115,8/4/2024,"15,2",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,41.11,21.3,29.6,7.81,C
